UTC(hours),Swin(W.m-2),Qnet(W.m-2),thetam(K),qm(g.kg-1),GR1(W.m-2),GR2(W.m-2),um(m.s-1),cm(ppm),NEE(mgCO2.m-2.s-1),SH(W.m-2),LE(W.m-2),ResEnergy(W.m-2),bowen_ratio,correctedSH(W.m-2),correctedLE(W.m-2),correctedLEbis(W.m-2),evaporative_fraction,corrected2SH(W.m-2),corrected2LE(W.m-2),ra(s.m-1),Tsoil1(K),Tsoil2(K),rs(s.m-1),SWnet(W.m-2),LWnet(W.m-2),qerr(g.kg-1)
6.0,176.0,110.50,286.45,8.74,4.04,3.66,0.71,421.90,-0.16,-12.41,46.29,72.58,-0.27,-31.87,26.83,138.33,1.37,-39.00,145.46,4,288.17,289.19,43,134.70,-24.20,0.12
6.5,241.0,121.43,287.59,9.40,9.78,13.67,1.02,408.30,-0.30,-10.00,67.90,53.75,-0.15,-17.92,59.98,129.57,1.17,-19.28,130.93,6,288.15,289.19,31,187.13,-65.70,0.13
7.0,321.4,162.68,288.44,9.92,13.80,19.90,1.20,391.70,-0.66,-7.36,110.50,45.74,-0.07,-10.41,107.45,159.29,1.07,-10.63,159.51,4,288.18,289.19,19,251.48,-88.80,0.13
7.5,417.6,233.90,290.04,10.77,18.75,28.35,1.20,385.20,-1.05,31.52,115.00,68.63,0.27,50.33,133.81,164.82,0.78,46.28,168.87,4,288.25,289.19,30,330.10,-96.20,0.14
8.0,498.8,297.50,292.39,10.44,22.20,34.12,1.54,379.70,-1.17,53.47,137.10,84.73,0.39,86.52,170.15,188.78,0.72,77.24,198.06,4,288.35,289.18,76,398.10,-100.60,0.13
8.5,568.5,355.30,294.47,10.17,24.84,39.42,1.92,377.20,-1.30,86.34,149.50,94.62,0.58,140.99,204.15,189.47,0.63,120.98,209.48,5,288.48,289.18,116,457.10,-101.80,0.13
9.0,630.9,409.40,295.44,10.02,24.44,43.11,1.87,371.30,-1.50,76.47,194.50,113.99,0.39,121.29,239.32,263.67,0.72,108.64,276.32,5,288.64,289.18,107,511.10,-101.70,0.13
9.5,680.6,452.90,296.51,10.10,24.66,46.13,1.92,364.90,-1.55,93.15,213.50,121.59,0.44,146.20,266.55,282.04,0.70,130.08,298.16,4,288.83,289.18,112,554.10,-101.20,0.13
10.0,727.7,493.20,297.51,9.79,25.24,48.20,2.07,362.10,-1.74,101.80,224.40,141.76,0.45,166.11,288.71,301.85,0.69,146.04,321.92,4,289.03,289.16,127,594.50,-101.30,0.12
10.5,762.7,523.10,297.43,9.77,25.17,48.61,2.31,363.20,-1.69,100.40,214.90,182.63,0.47,185.72,300.22,312.21,0.68,158.55,339.38,5,289.26,289.16,135,624.50,-101.40,0.12
11.0,792.7,546.40,298.07,10.06,25.80,50.50,2.24,363.20,-1.92,116.50,214.40,189.7,0.54,219.58,317.48,301.02,0.65,183.29,337.31,5,289.47,289.15,143,649.40,-103.00,0.12
11.5,805.7,557.80,298.23,9.89,26.54,53.41,2.59,359.60,-1.92,115.60,246.30,169.36,0.47,195.09,325.79,336.17,0.68,169.70,361.56,4,289.71,289.15,128,660.50,-102.70,0.12
12.0,807.7,560.60,298.71,9.63,24.14,57.14,2.17,356.60,-1.71,104.80,229.00,202.66,0.46,197.55,321.75,338.91,0.69,168.43,368.03,4,289.95,289.14,149,662.80,-102.20,0.12
12.5,800.7,555.50,299.01,9.69,25.56,46.25,2.35,353.70,-1.66,97.64,227.30,205,0.43,185.70,315.36,344.24,0.70,159.24,370.70,5,290.18,289.14,156,656.70,-101.20,0.12
13.0,771.7,533.30,299.95,10.13,24.41,49.49,1.97,350.80,-1.53,91.52,216.00,201.37,0.42,176.84,301.32,332.05,0.70,151.45,357.44,4,290.39,289.13,173,631.50,-98.20,0.12
13.5,744.7,511.80,300.16,10.35,24.25,48.86,2.10,350.50,-2.03,115.20,251.30,121.05,0.46,170.69,306.79,316.86,0.69,153.25,334.30,4,290.6,289.13,145,607.20,-95.40,0.13
14.0,696.9,471.00,299.80,10.22,21.82,48.68,1.91,351.50,-1.77,90.18,230.90,128.1,0.39,140.21,280.93,308.97,0.72,126.16,323.02,4,290.83,289.12,153,565.50,-94.50,0.13
14.5,639.3,422.10,299.13,10.18,20.14,49.55,1.66,352.10,-1.52,78.98,207.80,115.18,0.38,122.76,251.58,279.20,0.72,110.70,291.26,4,291.06,289.12,156,516.60,-94.50,0.13
15.0,583.4,373.60,299.13,10.65,27.62,46.86,1.60,350.50,-1.43,61.04,181.70,103.24,0.34,95.72,216.38,250.26,0.75,87.00,258.98,4,291.27,289.12,170,468.60,-95.00,0.13
15.5,511.5,312.70,298.92,10.26,42.68,107.90,1.63,351.60,-1.32,41.51,187.00,41.51,0.22,50.72,196.21,219.30,0.82,49.05,220.97,5,291.47,289.12,163,406.60,-93.90,0.13
16.0,442.1,252.30,299.26,10.55,12.23,79.70,1.28,351.20,-1.11,34.55,169.50,36.02,0.20,41.89,176.84,198.18,0.83,40.65,199.42,4,291.68,289.11,180,346.10,-93.80,0.13
16.5,368.3,190.60,299.80,10.25,10.57,25.64,1.16,352.30,-0.89,17.48,127.80,34.75,0.14,22.23,132.55,157.80,0.88,21.66,158.37,5,291.87,289.12,261,282.70,-92.10,0.13
17.0,290.9,127.00,298.93,10.28,7.07,21.85,1.08,354.00,-0.74,7.85,114.10,-2.02,0.07,7.71,113.96,112.22,0.94,7.72,112.21,4,291.98,289.12,258,217.70,-90.70,0.13
17.5,216.2,68.98,298.20,10.52,3.56,13.20,0.98,354.80,-0.38,-7.54,84.77,-11.81,-0.09,-6.49,85.82,71.91,1.10,-6.38,71.81,5,292.05,289.13,306,157.08,-88.10,0.13
18.0,144.1,15.02,297.83,11.23,1.76,8.54,0.44,353.70,-0.21,-2.34,41.69,-26.09,-0.06,-0.87,43.15,14.14,1.06,-0.79,14.05,4,292.09,289.14,541,99.92,-84.90,0.14
18.5,79.0,-25.86,296.84,11.76,-2.06,2.13,0.20,363.60,-0.30,21.65,7.39,-52.84,2.93,-133.08,-147.33,109.27,0.25,-17.74,-6.06,4,292.09,289.14,2404,52.14,-78.00,0.15
19.0,32.1,-48.32,295.05,11.79,-7.98,-6.36,0.24,384.90,0.29,-7.67,17.41,-50.09,-0.44,14.39,39.46,-54.73,1.79,31.73,-72.08,7,292.06,289.14,667,21.28,-69.60,0.15
19.5,0.0,-58.78,293.10,11.10,-14.35,-14.54,0.50,405.50,-0.36,7.37,-5.55,-46.25,-1.33,68.78,55.86,-113.21,-3.05,-180.01,135.58,12,291.99,289.15,-1498,0.32,-59.10,0.14
20.0,0.0,-61.76,291.28,10.38,-18.31,-21.17,0.56,471.70,-9999.00,-24.81,3.05,-21.69,-8.14,151.73,179.59,-195.19,-0.14,-49.54,6.09,19,291.9,289.17,1687,1.56,-63.32,0.13
20.5,0.0,-60.82,290.03,9.96,-18.61,-22.44,0.62,456.90,0.65,-8.85,-0.01,-33.35,789.73,-26348.62,-26339.79,26304.21,0.00,-42.15,-0.05,31,291.77,289.18,-260871,0.66,-61.48,0.13
21.0,0.0,-59.90,289.34,9.81,-19.72,-24.13,0.48,-9999.00,-9999.00,5.97,-0.56,-45.6,-10.76,496.63,490.11,-536.83,-0.10,-44.30,4.12,11,291.62,289.2,-6290,0.83,-60.73,0.13
21.5,0.0,-57.73,288.71,9.50,-20.57,-25.47,0.39,-9999.00,-9999.00,6.34,-3.37,-40.13,-1.88,81.77,72.06,-118.94,-1.14,-79.40,42.24,8,291.47,289.21,-988,-0.02,-57.71,0.12
22.0,0.0,-55.26,288.24,9.33,-20.18,-25.33,0.49,-9999.00,-9999.00,7.91,-2.40,-40.59,-3.29,141.59,131.28,-176.67,-0.44,-50.37,15.30,35,291.3,289.22,-637,-0.03,-55.23,0.12
22.5,0.0,-52.79,287.82,9.15,-19.27,-24.69,0.47,-9999.00,-9999.00,0.03,-5.12,-28.44,-0.01,0.23,-4.92,-33.75,1.01,0.23,-33.75,22,291.14,289.24,-409,0.12,-52.91,0.12
